task,category,n,zero_direction,target_direction,distractor_direction,mean_target_support,mean_distractor_support,mean_support_gap,median_abs_support_gap,abs_gap_ge_0p05,target_gap_ge_0p05,distractor_gap_ge_0p05,target_eligible_rate_0p05,abs_gap_ge_0p1,target_gap_ge_0p1,distractor_gap_ge_0p1,target_eligible_rate_0p1,abs_gap_ge_0p25,target_gap_ge_0p25,distractor_gap_ge_0p25,target_eligible_rate_0p25
contradiction,long_context,6,6,0,0,0.9166666666666666,0.9166666666666666,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,art,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,astronomy,1,0,1,0,1.0,0.5,0.5,0.5,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,biology,2,0,2,0,1.0,0.0,1.0,1.0,2,2,0,1.0,2,2,0,1.0,2,2,0,1.0
counterfactual,chemistry,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,control,5,0,5,0,1.0,0.1,0.9,1.0,5,5,0,1.0,5,5,0,1.0,5,5,0,1.0
counterfactual,economics,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,food,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,geography,2,0,2,0,1.0,0.0,1.0,1.0,2,2,0,1.0,2,2,0,1.0,2,2,0,1.0
counterfactual,history,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,language,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,law,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,literature,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,math,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,medicine,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,music,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,physics,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,planetary,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
counterfactual,sports,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
counterfactual,technology,1,0,1,0,1.0,0.0,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
